time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.coordinate_frame,.type_mask,.position.x,.position.y,.position.z,.velocity.x,.velocity.y,.velocity.z,.acceleration_or_force.x,.acceleration_or_force.y,.acceleration_or_force.z,.yaw,.yaw_rate
1970/01/01/02:03:51.472000,1,0,0,world,8,1479,0.0,0.0,0.0,0.0281897748848,0.278822958882,3.56045460299e-06,0.0,0.0,0.0,0.0,0.0584791116416
1970/01/01/02:03:51.500000,2,0,0,world,8,1479,0.0,0.0,0.0,0.024728899431,0.269438934571,4.37636969435e-06,0.0,0.0,0.0,0.0,0.0551187507808
1970/01/01/02:03:51.525000,3,0,0,world,8,1479,0.0,0.0,0.0,0.0317623554086,0.353993443435,-1.51396275584e-05,0.0,0.0,0.0,0.0,0.0893509238958
1970/01/01/02:03:51.566000,4,0,0,world,8,1479,0.0,0.0,0.0,0.0390294987109,0.330233827606,1.58653077171e-05,0.0,0.0,0.0,0.0,0.070707462728
1970/01/01/02:03:51.588000,5,0,0,world,8,1479,0.0,0.0,0.0,0.0360039337865,0.337858978235,9.06225663514e-05,0.0,0.0,0.0,0.0,0.0724980533123
1970/01/01/02:03:51.625000,6,0,0,world,8,1479,0.0,0.0,0.0,0.0538783569606,0.364893550669,0.000360685387069,0.0,0.0,0.0,0.0,0.068135663867
1970/01/01/02:03:51.649000,7,0,0,world,8,1479,0.0,0.0,0.0,0.0318072363161,0.395652586014,0.00107143174076,0.0,0.0,0.0,0.0,0.061122070998
1970/01/01/02:03:51.691000,8,0,0,world,8,1479,0.0,0.0,0.0,0.0456701989626,0.427413897316,0.00233389561429,0.0,0.0,0.0,0.0,0.0457906611264
1970/01/01/02:03:51.734000,9,0,0,world,8,1479,0.0,0.0,0.0,0.0433156373269,0.49691749401,0.00642803654323,0.0,0.0,0.0,0.0,0.0114866681397
1970/01/01/02:03:51.764000,10,0,0,world,8,1479,0.0,0.0,0.0,0.049270786308,0.535729006107,0.00828492583407,0.0,0.0,0.0,0.0,0.00853468291461
1970/01/01/02:03:51.789000,11,0,0,world,8,1479,0.0,0.0,0.0,0.0705849160521,0.589071208793,0.0090054287441,0.0,0.0,0.0,0.0,0.01962762326
1970/01/01/02:03:51.826000,12,0,0,world,8,1479,0.0,0.0,0.0,0.0652434881293,0.56439703494,0.0150399530877,0.0,0.0,0.0,0.0,-0.0201611332595
1970/01/01/02:03:51.859000,13,0,0,world,8,1479,0.0,0.0,0.0,0.071269373145,0.575644728275,0.0188921683768,0.0,0.0,0.0,0.0,-0.0385017357767
1970/01/01/02:03:51.890000,14,0,0,world,8,1479,0.0,0.0,0.0,0.0830398076356,0.648123053765,0.0191621967973,0.0,0.0,0.0,0.0,-0.0156296733767
1970/01/01/02:03:51.922000,15,0,0,world,8,1479,0.0,0.0,0.0,0.0672434470845,0.535450496503,0.0220634468654,0.0,0.0,0.0,0.0,-0.0705381408334
1970/01/01/02:03:51.954000,16,0,0,world,8,1479,0.0,0.0,0.0,0.072028727066,0.549825375617,0.0231895759424,0.0,0.0,0.0,0.0,-0.0620468445122
1970/01/01/02:03:51.988000,17,0,0,world,8,1479,0.0,0.0,0.0,0.0670006413395,0.588207094198,0.0228344851214,0.0,0.0,0.0,0.0,-0.0471788272262
1970/01/01/02:03:52.020000,18,0,0,world,8,1479,0.0,0.0,0.0,0.0524749773084,0.569969276574,0.0226652076912,0.0,0.0,0.0,0.0,-0.0514218918979
1970/01/01/02:03:52.054000,19,0,0,world,8,1479,0.0,0.0,0.0,0.0544826722521,0.502355479543,0.0240676030202,0.0,0.0,0.0,0.0,-0.0637586563826
1970/01/01/02:03:52.086000,20,0,0,world,8,1479,0.0,0.0,0.0,0.0530927965905,0.511073897279,0.022409311297,0.0,0.0,0.0,0.0,-0.0421045422554
1970/01/01/02:03:52.121000,21,0,0,world,8,1479,0.0,0.0,0.0,0.0410607019105,0.459918662582,0.0206439843956,0.0,0.0,0.0,0.0,-0.0533937700093
1970/01/01/02:03:52.157000,22,0,0,world,8,1479,0.0,0.0,0.0,0.0751580552387,0.488447726219,0.0142737874287,0.0,0.0,0.0,0.0,-0.00995762925595
1970/01/01/02:03:52.190000,23,0,0,world,8,1479,0.0,0.0,0.0,0.0844656144982,0.427643875197,0.0120754278408,0.0,0.0,0.0,0.0,-0.00958724785596
1970/01/01/02:03:52.225000,24,0,0,world,8,1479,0.0,0.0,0.0,0.0927658666624,0.423357922916,0.00821264033481,0.0,0.0,0.0,0.0,0.0134260393679
1970/01/01/02:03:52.260000,25,0,0,world,8,1479,0.0,0.0,0.0,0.100275791731,0.414012897652,0.00647657822902,0.0,0.0,0.0,0.0,0.0269727408886
1970/01/01/02:03:52.293000,26,0,0,world,8,1479,0.0,0.0,0.0,0.109337650941,0.47096477544,0.00337901908827,0.0,0.0,0.0,0.0,0.0668228939176
1970/01/01/02:03:52.322000,27,0,0,world,8,1479,0.0,0.0,0.0,0.0931424324324,0.451953087233,0.00185776876498,0.0,0.0,0.0,0.0,0.0742789283395
1970/01/01/02:03:52.355000,28,0,0,world,8,1479,0.0,0.0,0.0,0.104803252184,0.404853555191,0.000563975880851,0.0,0.0,0.0,0.0,0.0666483789682
1970/01/01/02:03:52.385000,29,0,0,world,8,1479,0.0,0.0,0.0,0.0992375794028,0.420049770652,0.000702342745362,0.0,0.0,0.0,0.0,0.0750958994031
1970/01/01/02:03:52.417000,30,0,0,world,8,1479,0.0,0.0,0.0,0.110611987059,0.40182676116,5.14574368467e-06,0.0,0.0,0.0,0.0,0.0748612806201
1970/01/01/02:03:52.454000,31,0,0,world,8,1479,0.0,0.0,0.0,0.118671683764,0.412012386135,-0.000634444158734,0.0,0.0,0.0,0.0,0.0873336941004
1970/01/01/02:03:52.489000,32,0,0,world,8,1479,0.0,0.0,0.0,0.0921538791409,0.434215408088,-0.000940530014408,0.0,0.0,0.0,0.0,0.103156588972
1970/01/01/02:03:52.520000,33,0,0,world,8,1479,0.0,0.0,0.0,0.09551750641,0.420104425665,-0.00104121365125,0.0,0.0,0.0,0.0,0.099972628057
1970/01/01/02:03:52.555000,34,0,0,world,8,1479,0.0,0.0,0.0,0.0987574610805,0.393643667564,-0.00100791022174,0.0,0.0,0.0,0.0,0.0915165320039
1970/01/01/02:03:52.588000,35,0,0,world,8,1479,0.0,0.0,0.0,0.101644151035,0.375820562874,-0.000909992261521,0.0,0.0,0.0,0.0,0.0858723595738
1970/01/01/02:03:52.621000,36,0,0,world,8,1479,0.0,0.0,0.0,0.085436216027,0.396514258787,-0.000868381336197,0.0,0.0,0.0,0.0,0.100661791861
1970/01/01/02:03:52.660000,37,0,0,world,8,1479,0.0,0.0,0.0,0.0724006718672,0.378707302449,-0.000754405481532,0.0,0.0,0.0,0.0,0.0908583626151
1970/01/01/02:03:52.696000,38,0,0,world,8,1479,0.0,0.0,0.0,0.0722542685753,0.371656625083,-0.000641818699678,0.0,0.0,0.0,0.0,0.0939113646746
1970/01/01/02:03:52.734000,39,0,0,world,8,1479,0.0,0.0,0.0,0.0677743266821,0.400179423834,-0.000316074096849,0.0,0.0,0.0,0.0,0.107878424227
1970/01/01/02:03:52.752000,40,0,0,world,8,1479,0.0,0.0,0.0,0.0620401051567,0.347102785632,-0.000321123646508,0.0,0.0,0.0,0.0,0.0945704951882
1970/01/01/02:03:52.788000,41,0,0,world,8,1479,0.0,0.0,0.0,0.0535575770044,0.369039370991,-2.50575642751e-05,0.0,0.0,0.0,0.0,0.102288492024
1970/01/01/02:03:52.823000,42,0,0,world,8,1479,0.0,0.0,0.0,0.0467182270622,0.325508682357,-2.83397387262e-05,0.0,0.0,0.0,0.0,0.0896998494864
1970/01/01/02:03:52.861000,43,0,0,world,8,1479,0.0,0.0,0.0,0.0701051480247,0.310834443794,7.04154270871e-05,0.0,0.0,0.0,0.0,0.0825554132462
1970/01/01/02:03:52.892000,44,0,0,world,8,1479,0.0,0.0,0.0,0.0579925696381,0.313658437681,0.000164225097471,0.0,0.0,0.0,0.0,0.0869202911854
1970/01/01/02:03:52.926000,45,0,0,world,8,1479,0.0,0.0,0.0,0.044640935513,0.296478085847,0.000273037770424,0.0,0.0,0.0,0.0,0.0883320495486
1970/01/01/02:03:52.955000,46,0,0,world,8,1479,0.0,0.0,0.0,0.051883061269,0.337662793381,0.000386938733622,0.0,0.0,0.0,0.0,0.111368872225
1970/01/01/02:03:52.988000,47,0,0,world,8,1479,0.0,0.0,0.0,0.0424464383721,0.243617274823,0.000378243508524,0.0,0.0,0.0,0.0,0.0813562572002
1970/01/01/02:03:53.020000,48,0,0,world,8,1479,0.0,0.0,0.0,0.067476500878,0.206007454692,0.000416560664664,0.0,0.0,0.0,0.0,0.0693433657289
1970/01/01/02:03:53.054000,49,0,0,world,8,1479,0.0,0.0,0.0,0.0425074087956,0.247598311086,0.00067278796287,0.0,0.0,0.0,0.0,0.0941838622093
1970/01/01/02:03:53.089000,50,0,0,world,8,1479,0.0,0.0,0.0,0.0318723382937,0.159152181522,0.000550160556238,0.0,0.0,0.0,0.0,0.0689623355865
1970/01/01/02:03:53.120000,51,0,0,world,8,1479,0.0,0.0,0.0,0.0631411885297,0.224451252088,0.000958946540735,0.0,0.0,0.0,0.0,0.0992755889893
1970/01/01/02:03:53.153000,52,0,0,world,8,1479,0.0,0.0,0.0,0.0773518243083,0.16231691495,0.00102129305588,0.0,0.0,0.0,0.0,0.0847611129284
1970/01/01/02:03:53.183000,53,0,0,world,8,1479,0.0,0.0,0.0,0.0323530428122,0.0682670791978,0.00100541098637,0.0,0.0,0.0,0.0,0.0694140195847
1970/01/01/02:03:53.224000,54,0,0,world,8,1479,0.0,0.0,0.0,0.0709121486186,0.0943295409744,0.00131970611687,0.0,0.0,0.0,0.0,0.0817373394966
1970/01/01/02:03:53.261000,55,0,0,world,8,1479,0.0,0.0,0.0,0.111151701439,0.0141560391632,0.00164416327883,0.0,0.0,0.0,0.0,0.0588739551604
1970/01/01/02:03:53.289000,56,0,0,world,8,1479,0.0,0.0,0.0,0.0673164666685,-0.0615274649485,0.00218142634212,0.0,0.0,0.0,0.0,0.0505708493292
1970/01/01/02:03:53.320000,57,0,0,world,8,1479,0.0,0.0,0.0,0.117812705397,-0.0738046632528,0.00317794070484,0.0,0.0,0.0,0.0,0.0569390133023
1970/01/01/02:03:53.358000,58,0,0,world,8,1479,0.0,0.0,0.0,0.181628058275,-0.128054821392,0.00395602267819,0.0,0.0,0.0,0.0,0.0447610504925
1970/01/01/02:03:53.386000,59,0,0,world,8,1479,0.0,0.0,0.0,0.223996022264,-0.223167136772,0.00461661090248,0.0,0.0,0.0,0.0,0.0356128923595
1970/01/01/02:03:53.422000,60,0,0,world,8,1479,0.0,0.0,0.0,0.219409570141,-0.138795348829,0.00763142196723,0.0,0.0,0.0,0.0,0.0734289735556
1970/01/01/02:03:53.458000,61,0,0,world,8,1479,0.0,0.0,0.0,0.253515731292,-0.309616433105,0.00804200444961,0.0,0.0,0.0,0.0,0.0523535832763
1970/01/01/02:03:53.490000,62,0,0,world,8,1479,0.0,0.0,0.0,0.791525387115,-0.459277132574,0.0117431965983,0.0,0.0,0.0,0.0,-0.00576456729323
1970/01/01/02:03:53.525000,63,0,0,world,8,1479,0.0,0.0,0.0,0.370409360887,-0.447276951459,0.0159634167696,0.0,0.0,0.0,0.0,0.0182748977095
1970/01/01/02:03:53.558000,64,0,0,world,8,1479,0.0,0.0,0.0,1.06851919377,-0.494253750428,0.0195871149608,0.0,0.0,0.0,0.0,-0.0211477652192
1970/01/01/02:03:53.586000,65,0,0,world,8,1479,0.0,0.0,0.0,0.511180700644,-0.555547649642,0.0235948760621,0.0,0.0,0.0,0.0,-0.0220780596137
1970/01/01/02:03:53.619000,66,0,0,world,8,1479,0.0,0.0,0.0,9.27603853568,-39.4087665788,0.0194047776505,0.0,0.0,0.0,0.0,-12.9884872437
1970/01/01/02:03:53.656000,67,0,0,world,8,1479,0.0,0.0,0.0,0.526949442074,-0.622668690977,0.0282935779463,0.0,0.0,0.0,0.0,-0.0178139153868
1970/01/01/02:03:53.689000,68,0,0,world,8,1479,0.0,0.0,0.0,0.513388916086,-0.755088496597,0.0323648625044,0.0,0.0,0.0,0.0,-0.0507503971457
1970/01/01/02:03:53.729000,69,0,0,world,8,1479,0.0,0.0,0.0,0.553168137112,-0.661882499997,0.0407529525144,0.0,0.0,0.0,0.0,-0.0218750741333
1970/01/01/02:03:53.761000,70,0,0,world,8,1479,0.0,0.0,0.0,0.500138781843,-0.791843180298,0.0416294790443,0.0,0.0,0.0,0.0,-0.065756753087
1970/01/01/02:03:53.792000,71,0,0,world,8,1479,0.0,0.0,0.0,0.701618754996,-0.763437759451,0.0516769402466,0.0,0.0,0.0,0.0,-0.0689359754324
1970/01/01/02:03:53.826000,72,0,0,world,8,1479,0.0,0.0,0.0,0.653256590275,-0.762925336408,0.0561940906576,0.0,0.0,0.0,0.0,-0.0734634399414
1970/01/01/02:03:53.856000,73,0,0,world,8,1479,0.0,0.0,0.0,0.487383807938,-0.767286501267,0.0571995841614,0.0,0.0,0.0,0.0,-0.0483347922564
1970/01/01/02:03:53.892000,74,0,0,world,8,1479,0.0,0.0,0.0,0.402194655263,-0.800598524455,0.0586101641554,0.0,0.0,0.0,0.0,-0.0351878479123
1970/01/01/02:03:53.965000,75,0,0,world,8,1479,0.0,0.0,0.0,0.340771752102,-0.764667142173,0.0604514690993,0.0,0.0,0.0,0.0,-0.00402284599841
1970/01/01/02:03:53.992000,76,0,0,world,8,1479,0.0,0.0,0.0,0.112441996073,-0.623307556212,0.0587374704489,0.0,0.0,0.0,0.0,0.10632058233
1970/01/01/02:03:54.020000,77,0,0,world,8,1479,0.0,0.0,0.0,-0.0969852712268,-0.44136323298,0.0552823311229,0.0,0.0,0.0,0.0,0.218651384115
1970/01/01/02:03:54.057000,78,0,0,world,8,1479,0.0,0.0,0.0,-0.350455377034,-0.137848483921,0.0505093612458,0.0,0.0,0.0,0.0,0.35223916173
1970/01/01/02:03:54.089000,79,0,0,world,8,1479,0.0,0.0,0.0,9.18863318318,-39.10324837,0.0383614152845,0.0,0.0,0.0,0.0,-12.292339325
1970/01/01/02:03:54.123000,80,0,0,world,8,1479,0.0,0.0,0.0,-0.252687557725,0.513787434244,0.0366873560107,0.0,0.0,0.0,0.0,0.534483969212
1970/01/01/02:03:54.156000,81,0,0,world,8,1479,0.0,0.0,0.0,0.413950908316,0.7681516854,0.0256260452302,0.0,0.0,0.0,0.0,0.553859114647
1970/01/01/02:03:54.185000,82,0,0,world,8,1479,0.0,0.0,0.0,-0.0423592768273,0.625742126494,0.0159709529481,0.0,0.0,0.0,0.0,0.480856865644
1970/01/01/02:03:54.219000,83,0,0,world,8,1479,0.0,0.0,0.0,0.16366783375,0.471082777152,0.00884232469458,0.0,0.0,0.0,0.0,0.372156322002
1970/01/01/02:03:54.256000,84,0,0,world,8,1479,0.0,0.0,0.0,0.158075504821,0.39036282384,0.00119258508688,0.0,0.0,0.0,0.0,0.313048690557
1970/01/01/02:03:54.286000,85,0,0,world,8,1479,0.0,0.0,0.0,0.675569223404,0.17527675687,-0.00306823757034,0.0,0.0,0.0,0.0,0.185063719749
1970/01/01/02:03:54.317000,86,0,0,world,8,1479,0.0,0.0,0.0,0.227304488158,0.158150687893,-0.0042436528819,0.0,0.0,0.0,0.0,0.145227774978
1970/01/01/02:03:54.349000,87,0,0,world,8,1479,0.0,0.0,0.0,4.67292319728,-33.1395476063,-0.00744368730873,0.0,0.0,0.0,0.0,-11.7971143723
1970/01/01/02:03:54.387000,88,0,0,world,8,1479,0.0,0.0,0.0,3.22945944625,-29.5812313357,-0.0031164403464,0.0,0.0,0.0,0.0,-10.6232309341
1970/01/01/02:03:54.422000,89,0,0,world,8,1479,0.0,0.0,0.0,0.0988620612554,0.141290843172,0.0018160910409,0.0,0.0,0.0,0.0,0.00582148507237
1970/01/01/02:03:54.456000,90,0,0,world,8,1479,0.0,0.0,0.0,0.0306411934475,0.0793597300191,0.00358255462777,0.0,0.0,0.0,0.0,-0.0555374361575
1970/01/01/02:03:54.488000,91,0,0,world,8,1479,0.0,0.0,0.0,0.0450583783728,0.197835870167,0.00462134877765,0.0,0.0,0.0,0.0,-0.0313328951597
1970/01/01/02:03:54.522000,92,0,0,world,8,1479,0.0,0.0,0.0,0.041650879376,0.263565316958,0.00310325208963,0.0,0.0,0.0,0.0,-0.0108318738639
1970/01/01/02:03:54.555000,93,0,0,world,8,1479,0.0,0.0,0.0,0.00993792905084,0.20468818141,0.00223213136258,0.0,0.0,0.0,0.0,-0.0418319515884
1970/01/01/02:03:54.585000,94,0,0,world,8,1479,0.0,0.0,0.0,0.0135837981035,0.201344875446,0.00163260519487,0.0,0.0,0.0,0.0,-0.0548872053623
1970/01/01/02:03:54.616000,95,0,0,world,8,1479,0.0,0.0,0.0,0.00146441617917,0.232454359476,0.00114859428865,0.0,0.0,0.0,0.0,-0.0616352744401
1970/01/01/02:03:54.663000,96,0,0,world,8,1479,0.0,0.0,0.0,-0.0371310371916,0.329649313994,0.000325489856433,0.0,0.0,0.0,0.0,-0.0812194496393
1970/01/01/02:03:54.689000,97,0,0,world,8,1479,0.0,0.0,0.0,-0.0570836702699,0.304215318704,0.000781077536776,0.0,0.0,0.0,0.0,-0.0976547077298
1970/01/01/02:03:54.735000,98,0,0,world,8,1479,0.0,0.0,0.0,-0.102852176923,0.556628161054,0.00142293589321,0.0,0.0,0.0,0.0,-0.0968830510974
1970/01/01/02:03:54.760000,99,0,0,world,8,1479,0.0,0.0,0.0,-0.126826294935,0.480409236801,0.00098694519437,0.0,0.0,0.0,0.0,-0.124553740025
1970/01/01/02:03:54.786000,100,0,0,world,8,1479,0.0,0.0,0.0,0.545395776547,-7.79466927962,0.0125830195752,0.0,0.0,0.0,0.0,-2.95331192017
