time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.coordinate_frame,.type_mask,.position.x,.position.y,.position.z,.velocity.x,.velocity.y,.velocity.z,.acceleration_or_force.x,.acceleration_or_force.y,.acceleration_or_force.z,.yaw,.yaw_rate
1970/01/01/02:01:30.514000,63,0,0,world,8,1479,0.0,0.0,0.0,0.444173637691,-0.491059203541,0.00825975930148,0.0,0.0,0.0,0.0,-0.00247283536009
1970/01/01/02:01:30.558000,64,0,0,world,8,1479,0.0,0.0,0.0,0.465609725316,-0.56008403539,0.00993533188956,0.0,0.0,0.0,0.0,-0.0207520332187
1970/01/01/02:01:30.580000,65,0,0,world,8,1479,0.0,0.0,0.0,0.501388942067,-0.647732698985,0.012308837068,0.0,0.0,0.0,0.0,-0.0472647622228
1970/01/01/02:01:30.615000,66,0,0,world,8,1479,0.0,0.0,0.0,0.540837707503,-0.732109033668,0.0150675323978,0.0,0.0,0.0,0.0,-0.0733789876103
1970/01/01/02:01:30.651000,67,0,0,world,8,1479,0.0,0.0,0.0,0.278757558838,-0.588984642562,0.0179634960148,0.0,0.0,0.0,0.0,-0.0133639555424
1970/01/01/02:01:30.684000,68,0,0,world,8,1479,0.0,0.0,0.0,0.193442831799,-0.635176780111,0.0198359702295,0.0,0.0,0.0,0.0,-0.00197893264703
1970/01/01/02:01:30.719000,69,0,0,world,8,1479,0.0,0.0,0.0,0.136660334065,-0.713505507679,0.0231892921966,0.0,0.0,0.0,0.0,-0.0176678877324
1970/01/01/02:01:30.762000,70,0,0,world,8,1479,0.0,0.0,0.0,0.242298278455,-0.813779019811,0.0245401835894,0.0,0.0,0.0,0.0,-0.0331516191363
1970/01/01/02:01:30.802000,71,0,0,world,8,1479,0.0,0.0,0.0,0.131390862283,-0.608364530775,0.0296520600983,0.0,0.0,0.0,0.0,0.0478151403368
1970/01/01/02:01:30.820000,72,0,0,world,8,1479,0.0,0.0,0.0,0.0647503737974,-0.515608343209,0.0283706507173,0.0,0.0,0.0,0.0,0.0834373235703
1970/01/01/02:01:30.850000,73,0,0,world,8,1479,0.0,0.0,0.0,-0.0680285272422,-0.267655310915,0.0223105295848,0.0,0.0,0.0,0.0,0.17937284708
1970/01/01/02:01:30.887000,74,0,0,world,8,1479,0.0,0.0,0.0,-0.116238421302,-0.147288694928,0.0183717515701,0.0,0.0,0.0,0.0,0.227726772428
1970/01/01/02:01:30.922000,75,0,0,world,8,1479,0.0,0.0,0.0,-0.0877109971288,-0.137092145969,0.0127800424358,0.0,0.0,0.0,0.0,0.237563297153
1970/01/01/02:01:30.959000,76,0,0,world,8,1479,0.0,0.0,0.0,-0.105790833666,-0.0794750843909,0.0067579040742,0.0,0.0,0.0,0.0,0.227220773697
