time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.errors,.cmds,.ekf_output,.e_m,.e_m_dot,.time
1970/01/01/02:05:38.232000,14,0,0,,"(-0.1470872014760971, 0.28120148181915283, -0.08053143322467804, 0.22782166302204132, 0.18247826397418976, 0.1893918812274933, 0.09906547516584396, 0.20085357129573822)","(-0.13323275744915009, 0.408709317445755, -0.00745926471427083, -0.0668836161494255)","(0.013470062054693699, -0.24028103053569794, 0.9750933647155762, 0.9875466823577881)","(0.01348127517849207,)","(-0.24065276980400085,)",338.223999023
1970/01/01/02:05:38.256000,15,0,0,,"(-0.1445450335741043, 0.3008078634738922, -0.08391424268484116, 0.24765315651893616, 0.16922837495803833, 0.2020396739244461, 0.08863969147205353, 0.21371875703334808)","(-0.1653010994195938, 0.4061497747898102, -0.0071925935335457325, -0.08858330547809601)","(0.007347099017351866, -0.2781744599342346, 0.9725714921951294, 0.9862857460975647)","(0.007352195680141449,)","(-0.278583824634552,)",338.253997803
1970/01/01/02:05:38.300000,16,0,0,,"(-0.24757511913776398, 0.30941909551620483, -0.03474293276667595, -1.6917808055877686, 0.2339838445186615, 0.21717315912246704, 0.06463445723056793, 2.1806814670562744)","(5.190186500549316, -6.1444926261901855, -0.0024805283173918724, -1.8558461666107178)","(0.004073238465934992, -0.2820482850074768, 0.9723137021064758, 0.9861568808555603)","(0.004075064789503813,)","(-0.2824615240097046,)",338.276000977
1970/01/01/02:05:38.322000,17,0,0,,"(-0.2510858178138733, 0.3261902928352356, -0.03731922805309296, -1.681733250617981, 0.23085260391235352, 0.22748683393001556, 0.06223997473716736, 2.1969735622406006)","(5.204976558685303, -5.782341003417969, -0.0015607427340000868, -1.7356290817260742)","(0.0011729564284905791, -0.2731163501739502, 0.9729081392288208, 0.9864540696144104)","(0.0011718861060217023,)","(-0.27352070808410645,)",338.312011719
1970/01/01/02:05:38.338000,18,0,0,,"(-0.25570228695869446, 0.3405950963497162, -0.0406939871609211, -1.673353672027588, 0.22700658440589905, 0.23621366918087006, 0.058566510677337646, 2.2107443809509277)","(5.312171936035156, -5.359858512878418, -0.00028363760793581605, -1.5948829650878906)","(-0.002700853394344449, -0.29763323068618774, 0.9712765216827393, 0.9856382608413696)","(-0.002705793362110853,)","(-0.29806193709373474,)",338.333007812
1970/01/01/02:05:38.369000,19,0,0,,"(-0.2510679364204407, 0.3459310531616211, -0.037171948701143265, -1.673336148262024, 0.23051738739013672, 0.23623111844062805, 0.06327693164348602, 2.2160677909851074)","(5.0503621101379395, -5.6766767501831055, -0.00023982857237569988, -1.697310209274292)","(0.0013894584262743592, -0.22196605801582336, 0.9763122797012329, 0.9881561398506165)","(0.0013886044034734368,)","(-0.2223196178674698,)",338.351989746
1970/01/01/02:05:38.395000,20,0,0,,"(-0.11100275814533234, 0.3495945632457733, -0.04490610212087631, 0.3088811933994293, 0.11848083883523941, 0.238573357462883, 0.028901388868689537, 0.2481863647699356)","(-0.16274787485599518, 0.7535279989242554, 0.00521661713719368, -0.028750527650117874)","(-0.0021272911690175533, -0.1478235125541687, 0.9812465906143188, 0.9906232953071594)","(-0.0021316579077392817,)","(-0.14810341596603394,)",338.388000488
1970/01/01/02:05:38.432000,21,0,0,,"(-0.11203238368034363, 0.3424416780471802, -0.04543416202068329, 0.3017887771129608, 0.11800293624401093, 0.2344619780778885, 0.028628110885620117, 0.24412816762924194)","(-0.1528146117925644, 0.7389964461326599, 0.0054505979642271996, -0.025135785341262817)","(-0.0027039318811148405, 0.0258108451962471, 0.9928023219108582, 0.9964011311531067)","(-0.002708874875679612,)","(0.025703417137265205,)",338.417999268
1970/01/01/02:05:38.479000,22,0,0,,"(-0.24919596314430237, 0.29721277952194214, -0.03609910607337952, -1.6993910074234009, 0.2330034375190735, 0.20970763266086578, 0.06215568631887436, 2.1682660579681396)","(5.389438152313232, -6.070549011230469, -0.0020162826403975487, -1.8300018310546875)","(0.0024657926987856627, 0.2646654546260834, 1.008698582649231, 1.0043492317199707)","(0.00246601365506649,)","(0.2647952735424042,)",338.471984863
1970/01/01/02:05:38.508000,23,0,0,,"(-0.03458103910088539, 0.28078189492225647, 0.03146665543317795, 0.24277396500110626, 0.12819446623325348, 0.19897903501987457, 0.04442015290260315, 0.20723190903663635)","(-0.15757788717746735, 0.5907652974128723, 0.003950278274714947, -0.0052902125753462315)","(0.042335014790296555, 0.6100550889968872, 1.0316848754882812, 1.0158424377441406)","(0.04237505793571472,)","(0.6105279922485352,)",338.50100708
1970/01/01/02:05:38.560000,24,0,0,,"(-0.015149894170463085, 0.2778879702091217, 0.05098501965403557, 0.2390325963497162, 0.13304191827774048, 0.196355938911438, 0.04942944273352623, 0.2008366584777832)","(-0.15866351127624512, 0.6012381911277771, 0.0030686338432133198, 0.0036074311938136816)","(0.05452439934015274, 0.5926068425178528, 1.030523657798767, 1.0152617692947388)","(0.05457662045955658,)","(0.5930624008178711,)",338.550994873
1970/01/01/02:05:38.596000,25,0,0,,"(-0.0014389317948371172, 0.279617577791214, 0.06446486711502075, 0.24016854166984558, 0.13654644787311554, 0.19681763648986816, 0.052957307547330856, 0.2009146809577942)","(-0.16490140557289124, 0.6014159917831421, 0.002104239072650671, 0.004001013934612274)","(0.06307166814804077, 0.61961430311203, 1.0323210954666138, 1.016160488128662)","(0.06313242018222809,)","(0.620096743106842,)",338.57598877
1970/01/01/02:05:38.615000,26,0,0,,"(0.0018747205613180995, 0.28670141100883484, 0.06721281260251999, 0.24694733321666718, 0.13488967716693878, 0.20099085569381714, 0.051093388348817825, 0.2048916220664978)","(-0.17247019708156586, 0.6121041774749756, 0.0016600883100181818, -0.00046653259778395295)","(0.06370625644922256, 0.48949721455574036, 1.023661494255066, 1.0118308067321777)","(0.06376764923334122,)","(0.48985037207603455,)",338.605987549
1970/01/01/02:05:38.628000,27,0,0,,"(0.015483293682336807, 0.28679394721984863, 0.07632480561733246, 0.25216010212898254, 0.13131147623062134, 0.20098939538002014, 0.051093388348817825, 0.20486503839492798)","(-0.15622185170650482, 0.5803531408309937, 0.0033388552255928516, -0.015432234853506088)","(0.06848707050085068, 0.22794479131698608, 1.0062546730041504, 1.0031273365020752)","(0.06855323910713196,)","(0.22803814709186554,)",338.622009277
1970/01/01/02:05:38.661000,28,0,0,,"(0.007599819917231798, 0.30078646540641785, 0.07199500501155853, 0.26638561487197876, 0.12737737596035004, 0.20988476276397705, 0.04307732731103897, 0.2138613760471344)","(-0.14861369132995605, 0.6630943417549133, 0.003965792711824179, -0.0059506818652153015)","(0.06245224550366402, -0.028356587514281273, 0.9891973733901978, 0.9945986866950989)","(0.06251238286495209,)","(-0.028517819941043854,)",338.656005859
1970/01/01/02:05:38.687000,29,0,0,,"(0.006178812123835087, 0.3204229474067688, 0.06926396489143372, 0.28672003746032715, 0.11394085735082626, 0.22238348424434662, 0.032464075833559036, 0.22670233249664307)","(-0.14659515023231506, 0.7284339666366577, 0.006050859112292528, -0.005862424615770578)","(0.05540882423520088, -0.24242374300956726, 0.9749507904052734, 0.9874753952026367)","(0.05546192824840546,)","(-0.2427976131439209,)",338.682006836
1970/01/01/02:05:38.728000,30,0,0,,"(-0.001933555700816214, 0.33946165442466736, 0.059913747012615204, 0.3067393898963928, 0.10626838356256485, 0.2342933714389801, 0.020568598061800003, 0.2391258329153061)","(-0.1590937077999115, 0.7552809119224548, 0.008962777443230152, -0.019278451800346375)","(0.04616042599081993, -0.33751654624938965, 0.9686222076416016, 0.9843111038208008)","(0.04620429500937462,)","(-0.3379848599433899,)",338.721984863
1970/01/01/02:05:38.754000,31,0,0,,"(-0.004930277820676565, 0.3552968502044678, 0.05119587853550911, 0.32343852519989014, 0.09233561158180237, 0.24385425448417664, 0.0061117978766560555, 0.2490936815738678)","(-0.18218903243541718, 0.726733922958374, 0.012460199184715748, -0.046710263937711716)","(0.03614439070224762, -0.42927223443984985, 0.962515652179718, 0.9812578558921814)","(0.03617825359106064,)","(-0.42983168363571167,)",338.75
1970/01/01/02:05:38.800000,32,0,0,,"(-0.011965659447014332, 0.3940909802913666, 0.046146415174007416, 0.3636101186275482, 0.08104774355888367, 0.2657608389854431, -0.002867025090381503, 0.2715877890586853)","(-0.16147390007972717, 0.8891491889953613, 0.015761341899633408, -0.026993395760655403)","(0.028064576908946037, -0.42239245772361755, 0.9629735350608826, 0.9814867973327637)","(0.02809036709368229,)","(-0.4229450821876526,)",338.79699707
